"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"954";"DRS II - ARAÇATUBA";3;7;NA;NA;NA;10;NA;NA;NA;NA;NA;2021-05-20
"955";"DRS III - ARARAQUARA";1;22;6;NA;1;30;NA;NA;NA;NA;NA;2021-05-20
"956";"DRS IV - BAIXADA SANTISTA";NA;1;2;NA;NA;3;NA;NA;NA;NA;NA;2021-05-20
"957";"DRS V - BARRETOS";4;20;17;1;NA;42;NA;NA;NA;1;1;2021-05-20
"958";"DRS VI - BAURU";NA;6;2;NA;NA;8;NA;NA;NA;NA;NA;2021-05-20
"959";"DRS VII - CAMPINAS";2;24;18;NA;1;45;NA;NA;NA;NA;NA;2021-05-20
"960";"DRS VIII - FRANCA";1;25;6;NA;NA;32;NA;NA;NA;NA;NA;2021-05-20
"961";"DRS IX - MARÍLIA";2;25;13;NA;3;43;NA;NA;NA;NA;NA;2021-05-20
"962";"DRS X - PIRACICABA";11;16;4;NA;NA;31;NA;NA;NA;NA;NA;2021-05-20
"963";"DRS XI - PRESIDENTE PRUDENTE";2;9;1;NA;NA;12;NA;NA;NA;NA;NA;2021-05-20
"964";"DRS XII - REGISTRO";NA;3;NA;NA;NA;3;NA;NA;NA;NA;NA;2021-05-20
"965";"DRS XIII - RIBEIRÃO PRETO";2;23;1;NA;2;28;NA;NA;NA;NA;NA;2021-05-20
"966";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;4;2;NA;NA;7;NA;NA;NA;NA;NA;2021-05-20
"967";"DRS XV - SÃO JOSÉ DO RIO PRETO";18;60;21;2;NA;101;NA;NA;NA;NA;NA;2021-05-20
"968";"DRS XVI - SOROCABA";2;26;9;NA;1;38;NA;NA;NA;NA;NA;2021-05-20
"969";"DRS XVII - TAUBATÉ";3;17;5;1;NA;26;NA;NA;NA;NA;NA;2021-05-20
"970";"DRS I - GRANDE SÃO PAULO";3;30;39;3;4;79;NA;NA;1;1;2;2021-05-21
"971";"DRS II - ARAÇATUBA";5;2;3;NA;NA;10;NA;NA;NA;NA;NA;2021-05-21
"972";"DRS III - ARARAQUARA";1;24;10;NA;1;36;NA;NA;NA;NA;NA;2021-05-21
"973";"DRS IV - BAIXADA SANTISTA";1;NA;3;NA;NA;4;NA;NA;NA;NA;NA;2021-05-21
"974";"DRS V - BARRETOS";3;18;15;2;NA;38;NA;NA;1;NA;1;2021-05-21
"975";"DRS VI - BAURU";NA;9;2;NA;2;13;NA;NA;NA;NA;NA;2021-05-21
"976";"DRS VII - CAMPINAS";2;23;15;1;1;42;NA;NA;NA;NA;NA;2021-05-21
"977";"DRS VIII - FRANCA";2;26;3;NA;NA;31;NA;NA;NA;NA;NA;2021-05-21
"978";"DRS IX - MARÍLIA";1;28;13;1;1;44;NA;NA;NA;NA;NA;2021-05-21
"979";"DRS X - PIRACICABA";10;12;6;NA;NA;28;NA;NA;NA;NA;NA;2021-05-21
"980";"DRS XI - PRESIDENTE PRUDENTE";4;6;2;NA;NA;12;NA;NA;NA;NA;NA;2021-05-21
"981";"DRS XII - REGISTRO";NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;2021-05-21
"982";"DRS XIII - RIBEIRÃO PRETO";6;14;1;NA;2;5;NA;NA;NA;NA;NA;2021-05-21
"983";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;2;1;NA;1;105;NA;NA;NA;NA;NA;2021-05-21
"984";"DRS XV - SÃO JOSÉ DO RIO PRETO";17;62;25;1;NA;32;NA;NA;NA;NA;NA;2021-05-21
"985";"DRS XVI - SOROCABA";2;23;6;NA;1;23;NA;NA;NA;NA;NA;2021-05-21
"986";"DRS XVII - TAUBATÉ";5;12;5;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-21
"987";"DRS I - GRANDE SÃO PAULO";2;37;46;2;2;89;NA;NA;NA;NA;NA;2021-05-22
"988";"DRS II - ARAÇATUBA";5;1;1;NA;NA;7;NA;NA;NA;NA;NA;2021-05-22
"989";"DRS III - ARARAQUARA";NA;19;14;NA;2;35;NA;NA;NA;NA;NA;2021-05-22
"990";"DRS IV - BAIXADA SANTISTA";NA;1;2;NA;NA;3;NA;NA;NA;NA;NA;2021-05-22
"991";"DRS V - BARRETOS";1;17;14;NA;NA;32;NA;NA;1;NA;NA;2021-05-22
"992";"DRS VI - BAURU";NA;7;4;NA;6;17;NA;NA;NA;NA;NA;2021-05-22
"993";"DRS VII - CAMPINAS";4;21;14;NA;1;40;NA;NA;NA;NA;NA;2021-05-22
"994";"DRS VIII - FRANCA";1;31;7;NA;NA;39;NA;NA;NA;NA;NA;2021-05-22
"995";"DRS IX - MARÍLIA";4;26;11;1;2;44;NA;NA;NA;NA;NA;2021-05-22
"996";"DRS X - PIRACICABA";11;18;6;NA;2;37;NA;NA;NA;NA;NA;2021-05-22
"997";"DRS XI - PRESIDENTE PRUDENTE";2;6;3;NA;1;12;NA;NA;NA;NA;NA;2021-05-22
"998";"DRS XII - REGISTRO";NA;2;1;NA;NA;3;NA;NA;NA;NA;NA;2021-05-22
"999";"DRS XIII - RIBEIRÃO PRETO";5;14;2;NA;2;23;NA;NA;NA;NA;NA;2021-05-22
"1000";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;3;2;NA;1;6;NA;NA;NA;NA;NA;2021-05-22
"1001";"DRS XV - SÃO JOSÉ DO RIO PRETO";18;68;22;1;NA;109;NA;NA;NA;NA;NA;2021-05-22
"1002";"DRS XVI - SOROCABA";4;23;9;NA;1;37;NA;NA;NA;NA;NA;2021-05-22
"1003";"DRS XVII - TAUBATÉ";2;12;4;1;NA;19;NA;NA;1;NA;NA;2021-05-22
"1004";"DRS I - GRANDE SÃO PAULO";3;36;31;2;11;83;NA;NA;NA;NA;NA;2021-05-23
"1005";"DRS II - ARAÇATUBA";1;2;2;NA;NA;5;NA;NA;NA;NA;NA;2021-05-23
"1006";"DRS III - ARARAQUARA";1;18;9;NA;1;29;NA;NA;NA;NA;NA;2021-05-23
"1007";"DRS IV - BAIXADA SANTISTA";NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;2021-05-23
"1008";"DRS V - BARRETOS";4;18;13;NA;NA;35;NA;NA;NA;NA;NA;2021-05-23
"1009";"DRS VI - BAURU";NA;6;1;NA;2;9;NA;NA;NA;NA;NA;2021-05-23
"1010";"DRS VII - CAMPINAS";2;19;19;1;1;42;NA;NA;NA;NA;NA;2021-05-23
"1011";"DRS VIII - FRANCA";2;29;2;NA;NA;33;NA;NA;NA;NA;NA;2021-05-23
"1012";"DRS IX - MARÍLIA";3;34;28;1;2;68;NA;NA;NA;NA;NA;2021-05-23
"1013";"DRS X - PIRACICABA";11;24;8;NA;2;45;NA;NA;NA;NA;NA;2021-05-23
"1014";"DRS XI - PRESIDENTE PRUDENTE";1;6;3;NA;1;11;NA;NA;NA;NA;NA;2021-05-23
"1015";"DRS XII - REGISTRO";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-05-23
"1016";"DRS XIII - RIBEIRÃO PRETO";5;8;5;NA;2;20;NA;NA;NA;NA;NA;2021-05-23
"1017";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;2;NA;NA;1;3;NA;NA;NA;NA;NA;2021-05-23
"1018";"DRS XV - SÃO JOSÉ DO RIO PRETO";18;72;22;2;NA;114;NA;NA;NA;1;NA;2021-05-23
"1019";"DRS XVI - SOROCABA";5;26;6;NA;1;38;NA;NA;NA;NA;NA;2021-05-23
"1020";"DRS XVII - TAUBATÉ";4;11;4;NA;NA;19;NA;NA;NA;NA;NA;2021-05-23
"1021";"DRS I - GRANDE SÃO PAULO";4;37;60;5;5;111;NA;NA;NA;NA;NA;2021-05-24
"1022";"DRS II - ARAÇATUBA";1;3;1;NA;NA;5;NA;NA;NA;NA;NA;2021-05-24
"1023";"DRS III - ARARAQUARA";1;17;8;NA;1;27;NA;NA;NA;NA;NA;2021-05-24
"1024";"DRS IV - BAIXADA SANTISTA";NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2021-05-24
"1025";"DRS V - BARRETOS";4;18;13;1;NA;36;NA;NA;NA;NA;NA;2021-05-24
"1026";"DRS VI - BAURU";1;6;6;NA;1;14;NA;NA;NA;NA;NA;2021-05-24
"1027";"DRS VII - CAMPINAS";NA;17;22;NA;2;41;NA;NA;NA;NA;NA;2021-05-24
"1028";"DRS VIII - FRANCA";2;33;NA;NA;NA;35;NA;NA;NA;NA;NA;2021-05-24
"1029";"DRS IX - MARÍLIA";4;37;18;2;1;62;NA;NA;NA;NA;NA;2021-05-24
"1030";"DRS X - PIRACICABA";13;22;7;NA;1;43;NA;NA;NA;NA;NA;2021-05-24
"1031";"DRS XI - PRESIDENTE PRUDENTE";2;6;8;NA;NA;16;NA;NA;NA;NA;NA;2021-05-24
"1032";"DRS XII - REGISTRO";NA;4;1;NA;NA;5;NA;NA;NA;NA;NA;2021-05-24
"1033";"DRS XIII - RIBEIRÃO PRETO";6;14;3;NA;3;26;NA;NA;NA;NA;NA;2021-05-24
"1034";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;3;3;NA;NA;6;NA;NA;NA;NA;NA;2021-05-24
"1035";"DRS XV - SÃO JOSÉ DO RIO PRETO";18;75;25;2;2;122;NA;NA;1;NA;NA;2021-05-24
"1036";"DRS XVI - SOROCABA";4;29;9;1;2;45;NA;NA;NA;NA;NA;2021-05-24
"1037";"DRS XVII - TAUBATÉ";2;12;3;NA;NA;17;NA;NA;NA;NA;NA;2021-05-24
"1038";"DRS I - GRANDE SÃO PAULO";3;45;47;4;4;103;NA;NA;NA;NA;NA;2021-05-25
"1039";"DRS II - ARAÇATUBA";NA;3;4;NA;NA;7;NA;NA;NA;NA;NA;2021-05-25
"1040";"DRS III - ARARAQUARA";4;23;5;1;NA;33;NA;NA;NA;NA;NA;2021-05-25
"1041";"DRS IV - BAIXADA SANTISTA";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-05-25
"1042";"DRS V - BARRETOS";4;18;13;2;NA;37;NA;NA;NA;NA;NA;2021-05-25
"1043";"DRS VI - BAURU";1;10;5;NA;3;19;NA;NA;NA;NA;NA;2021-05-25
"1044";"DRS VII - CAMPINAS";NA;21;23;3;2;49;NA;NA;NA;NA;NA;2021-05-25
"1045";"DRS VIII - FRANCA";2;30;2;1;1;36;NA;NA;NA;NA;NA;2021-05-25
"1046";"DRS IX - MARÍLIA";6;40;17;NA;1;64;NA;NA;NA;NA;NA;2021-05-25
"1047";"DRS X - PIRACICABA";13;27;8;NA;NA;48;NA;NA;NA;NA;NA;2021-05-25
"1048";"DRS XI - PRESIDENTE PRUDENTE";2;7;6;NA;NA;15;NA;NA;NA;NA;NA;2021-05-25
"1049";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2021-05-25
"1050";"DRS XIII - RIBEIRÃO PRETO";6;19;5;NA;1;31;NA;NA;NA;NA;NA;2021-05-25
"1051";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;2;3;1;NA;6;NA;NA;NA;NA;NA;2021-05-25
"1052";"DRS XV - SÃO JOSÉ DO RIO PRETO";13;78;22;NA;4;117;NA;NA;1;NA;NA;2021-05-25
"1053";"DRS XVI - SOROCABA";5;26;13;NA;3;47;NA;NA;NA;NA;NA;2021-05-25
"1054";"DRS XVII - TAUBATÉ";NA;10;10;NA;NA;20;NA;NA;NA;NA;NA;2021-05-25
"1055";"DRS I - GRANDE SÃO PAULO";3;45;54;7;2;111;NA;NA;NA;2;NA;2021-05-26
"1056";"DRS II - ARAÇATUBA";1;1;2;NA;NA;4;NA;NA;NA;NA;NA;2021-05-26
"1057";"DRS III - ARARAQUARA";4;18;5;NA;1;28;NA;NA;NA;NA;NA;2021-05-26
"1058";"DRS IV - BAIXADA SANTISTA";NA;3;3;NA;NA;6;NA;NA;NA;NA;NA;2021-05-26
"1059";"DRS V - BARRETOS";3;14;12;1;NA;30;NA;NA;NA;NA;NA;2021-05-26
"1060";"DRS VI - BAURU";1;13;2;NA;1;17;NA;NA;NA;NA;NA;2021-05-26
"1061";"DRS VII - CAMPINAS";1;24;19;2;2;48;NA;NA;NA;NA;NA;2021-05-26
"1062";"DRS VIII - FRANCA";2;27;7;NA;NA;36;NA;NA;NA;NA;NA;2021-05-26
"1063";"DRS IX - MARÍLIA";8;44;8;NA;1;61;NA;NA;NA;NA;NA;2021-05-26
"1064";"DRS X - PIRACICABA";9;29;9;NA;1;48;NA;NA;NA;NA;NA;2021-05-26
"1065";"DRS XI - PRESIDENTE PRUDENTE";2;9;7;NA;NA;18;NA;NA;NA;NA;NA;2021-05-26
"1066";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2021-05-26
"1067";"DRS XIII - RIBEIRÃO PRETO";6;18;5;NA;1;30;NA;NA;NA;NA;NA;2021-05-26
"1068";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;2;3;NA;NA;5;NA;NA;NA;NA;NA;2021-05-26
"1069";"DRS XV - SÃO JOSÉ DO RIO PRETO";10;70;20;NA;3;103;NA;NA;1;NA;NA;2021-05-26
"1070";"DRS XVI - SOROCABA";4;31;13;NA;5;53;NA;NA;NA;NA;NA;2021-05-26
"1071";"DRS XVII - TAUBATÉ";NA;3;8;NA;NA;11;NA;NA;NA;NA;NA;2021-05-26
"1072";"DRS I - GRANDE SÃO PAULO";3;65;53;4;1;126;NA;NA;NA;4;NA;2021-05-27
"1073";"DRS II - ARAÇATUBA";2;4;6;NA;NA;12;NA;NA;NA;NA;NA;2021-05-27
"1074";"DRS III - ARARAQUARA";5;15;3;NA;NA;23;NA;NA;NA;NA;NA;2021-05-27
"1075";"DRS IV - BAIXADA SANTISTA";NA;3;1;NA;NA;4;NA;NA;NA;1;NA;2021-05-27
"1076";"DRS V - BARRETOS";4;13;18;2;NA;37;NA;NA;NA;NA;NA;2021-05-27
"1077";"DRS VI - BAURU";1;17;1;1;3;23;NA;NA;NA;NA;NA;2021-05-27
"1078";"DRS VII - CAMPINAS";2;35;25;2;2;66;NA;NA;NA;NA;NA;2021-05-27
"1079";"DRS VIII - FRANCA";1;24;4;NA;2;31;NA;NA;NA;NA;NA;2021-05-27
"1080";"DRS IX - MARÍLIA";10;33;12;1;1;57;NA;NA;NA;NA;NA;2021-05-27
"1081";"DRS X - PIRACICABA";10;23;6;1;3;43;NA;NA;NA;NA;NA;2021-05-27
"1082";"DRS XI - PRESIDENTE PRUDENTE";2;11;4;NA;NA;17;NA;NA;NA;NA;NA;2021-05-27
"1083";"DRS XII - REGISTRO";NA;5;NA;NA;NA;5;NA;NA;NA;NA;NA;2021-05-27
"1084";"DRS XIII - RIBEIRÃO PRETO";6;17;5;NA;NA;28;NA;NA;NA;NA;NA;2021-05-27
"1085";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;6;6;NA;NA;12;NA;NA;NA;NA;NA;2021-05-27
"1086";"DRS XV - SÃO JOSÉ DO RIO PRETO";8;68;22;NA;2;100;NA;NA;1;NA;NA;2021-05-27
"1087";"DRS XVI - SOROCABA";4;32;17;1;4;58;NA;NA;NA;NA;NA;2021-05-27
"1088";"DRS XVII - TAUBATÉ";NA;5;7;NA;NA;12;NA;NA;NA;NA;NA;2021-05-27
"1089";"DRS I - GRANDE SÃO PAULO";2;57;52;2;3;116;NA;NA;NA;3;NA;2021-05-28
"1090";"DRS II - ARAÇATUBA";2;6;3;NA;NA;11;NA;NA;NA;NA;NA;2021-05-28
"1091";"DRS III - ARARAQUARA";4;10;3;NA;NA;17;NA;NA;NA;NA;NA;2021-05-28
"1092";"DRS IV - BAIXADA SANTISTA";NA;NA;2;NA;NA;2;NA;NA;1;NA;NA;2021-05-28
"1093";"DRS V - BARRETOS";2;16;13;NA;NA;31;NA;NA;NA;NA;NA;2021-05-28
"1094";"DRS VI - BAURU";1;16;4;NA;1;22;NA;NA;NA;NA;NA;2021-05-28
"1095";"DRS VII - CAMPINAS";4;32;27;NA;2;65;NA;NA;NA;NA;NA;2021-05-28
"1096";"DRS VIII - FRANCA";1;31;2;NA;1;35;NA;NA;NA;NA;NA;2021-05-28
"1097";"DRS IX - MARÍLIA";7;37;16;NA;1;61;NA;NA;NA;NA;NA;2021-05-28
"1098";"DRS X - PIRACICABA";11;22;4;NA;2;39;NA;NA;NA;NA;NA;2021-05-28
"1099";"DRS XI - PRESIDENTE PRUDENTE";NA;9;4;NA;NA;13;NA;NA;NA;NA;NA;2021-05-28
"1100";"DRS XII - REGISTRO";NA;5;NA;NA;NA;5;NA;NA;NA;NA;NA;2021-05-28
"1101";"DRS XIII - RIBEIRÃO PRETO";9;22;5;NA;NA;36;NA;NA;NA;NA;NA;2021-05-28
"1102";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;10;3;1;NA;14;NA;NA;NA;NA;NA;2021-05-28
"1103";"DRS XV - SÃO JOSÉ DO RIO PRETO";6;71;15;NA;1;93;NA;NA;1;NA;NA;2021-05-28
"1104";"DRS XVI - SOROCABA";6;33;10;NA;6;55;NA;NA;NA;NA;NA;2021-05-28
"1105";"DRS XVII - TAUBATÉ";NA;6;1;NA;NA;7;NA;NA;NA;NA;NA;2021-05-28
"1106";"DRS I - GRANDE SÃO PAULO";4;53;37;6;3;103;NA;NA;NA;1;NA;2021-05-29
"1107";"DRS II - ARAÇATUBA";4;8;3;NA;NA;15;NA;NA;NA;NA;1;2021-05-29
"1108";"DRS III - ARARAQUARA";5;12;2;NA;2;21;NA;NA;NA;NA;0;2021-05-29
"1109";"DRS IV - BAIXADA SANTISTA";NA;1;1;NA;NA;2;NA;NA;NA;NA;0;2021-05-29
"1110";"DRS V - BARRETOS";1;20;8;2;NA;31;NA;NA;NA;NA;0;2021-05-29
"1111";"DRS VI - BAURU";2;23;10;NA;4;39;NA;NA;NA;NA;0;2021-05-29
"1112";"DRS VII - CAMPINAS";4;46;19;2;2;73;NA;NA;NA;NA;0;2021-05-29
"1113";"DRS VIII - FRANCA";3;32;4;NA;NA;39;NA;NA;NA;NA;0;2021-05-29
"1114";"DRS IX - MARÍLIA";9;34;15;NA;1;59;NA;NA;NA;NA;0;2021-05-29
"1115";"DRS X - PIRACICABA";9;22;2;1;5;39;NA;NA;NA;NA;0;2021-05-29
"1116";"DRS XI - PRESIDENTE PRUDENTE";1;8;6;NA;1;16;NA;NA;NA;NA;0;2021-05-29
"1117";"DRS XII - REGISTRO";1;4;1;NA;NA;6;NA;NA;NA;NA;0;2021-05-29
"1118";"DRS XIII - RIBEIRÃO PRETO";10;28;3;NA;1;42;NA;NA;NA;NA;0;2021-05-29
"1119";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;7;5;NA;NA;13;NA;NA;NA;NA;0;2021-05-29
"1120";"DRS XV - SÃO JOSÉ DO RIO PRETO";12;68;17;1;NA;98;NA;NA;NA;NA;0;2021-05-29
"1121";"DRS XVI - SOROCABA";5;29;11;NA;5;50;NA;NA;NA;NA;0;2021-05-29
"1122";"DRS XVII - TAUBATÉ";NA;6;3;NA;NA;9;NA;NA;NA;NA;0;2021-05-29
"1123";"DRS I - GRANDE SÃO PAULO";3;42;46;3;2;96;NA;NA;1;1;2;2021-05-30
"1124";"DRS II - ARAÇATUBA";1;6;2;NA;NA;9;NA;NA;NA;NA;0;2021-05-30
"1125";"DRS III - ARARAQUARA";4;10;5;1;1;21;NA;NA;NA;NA;0;2021-05-30
"1126";"DRS IV - BAIXADA SANTISTA";NA;1;3;NA;NA;4;NA;NA;NA;NA;0;2021-05-30
"1127";"DRS V - BARRETOS";1;15;13;2;NA;31;NA;NA;NA;NA;0;2021-05-30
"1128";"DRS VI - BAURU";2;20;8;NA;4;34;NA;NA;NA;NA;0;2021-05-30
"1129";"DRS VII - CAMPINAS";7;30;20;3;2;62;NA;NA;NA;NA;0;2021-05-30
"1130";"DRS VIII - FRANCA";4;25;7;NA;NA;36;NA;NA;NA;NA;0;2021-05-30
"1131";"DRS IX - MARÍLIA";8;41;13;1;4;67;NA;NA;NA;NA;0;2021-05-30
"1132";"DRS X - PIRACICABA";8;14;6;1;3;32;NA;NA;NA;NA;0;2021-05-30
"1133";"DRS XI - PRESIDENTE PRUDENTE";2;5;5;1;NA;13;NA;NA;NA;NA;0;2021-05-30
"1134";"DRS XII - REGISTRO";2;3;1;NA;NA;6;NA;NA;NA;NA;0;2021-05-30
"1135";"DRS XIII - RIBEIRÃO PRETO";10;24;5;NA;1;40;NA;NA;NA;NA;0;2021-05-30
"1136";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;5;5;NA;NA;11;NA;NA;NA;NA;0;2021-05-30
"1137";"DRS XV - SÃO JOSÉ DO RIO PRETO";9;62;18;NA;NA;89;NA;NA;NA;NA;0;2021-05-30
"1138";"DRS XVI - SOROCABA";5;26;6;NA;5;42;NA;NA;NA;NA;0;2021-05-30
"1139";"DRS XVII - TAUBATÉ";1;9;6;NA;NA;16;NA;NA;NA;NA;0;2021-05-30
"1140";"DRS I - GRANDE SÃO PAULO";2;48;38;4;3;95;NA;NA;1;NA;1;2021-05-31
"1141";"DRS II - ARAÇATUBA";NA;4;1;NA;1;6;NA;NA;NA;NA;0;2021-05-31
"1142";"DRS III - ARARAQUARA";2;13;7;NA;1;23;NA;NA;NA;NA;0;2021-05-31
"1143";"DRS IV - BAIXADA SANTISTA";NA;2;3;NA;NA;5;NA;NA;NA;NA;0;2021-05-31
"1144";"DRS V - BARRETOS";1;15;12;NA;NA;28;NA;NA;NA;NA;0;2021-05-31
"1145";"DRS VI - BAURU";4;29;10;NA;3;46;NA;NA;NA;NA;0;2021-05-31
"1146";"DRS VII - CAMPINAS";6;23;17;4;3;53;NA;NA;NA;NA;0;2021-05-31
"1147";"DRS VIII - FRANCA";2;26;7;1;NA;36;NA;NA;NA;NA;0;2021-05-31
"1148";"DRS IX - MARÍLIA";9;41;14;NA;4;68;NA;NA;NA;NA;0;2021-05-31
"1149";"DRS X - PIRACICABA";7;17;5;1;2;32;NA;NA;NA;NA;0;2021-05-31
"1150";"DRS XI - PRESIDENTE PRUDENTE";2;12;8;NA;NA;22;NA;NA;NA;NA;0;2021-05-31
"1151";"DRS XII - REGISTRO";1;1;NA;NA;NA;2;NA;NA;NA;NA;0;2021-05-31
"1152";"DRS XIII - RIBEIRÃO PRETO";12;23;5;NA;1;41;NA;NA;NA;NA;0;2021-05-31
"1153";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;5;3;NA;NA;9;NA;NA;NA;NA;0;2021-05-31
"1154";"DRS XV - SÃO JOSÉ DO RIO PRETO";9;62;17;NA;NA;88;NA;NA;NA;NA;0;2021-05-31
"1155";"DRS XVI - SOROCABA";8;30;9;1;5;53;NA;NA;NA;NA;0;2021-05-31
"1156";"DRS XVII - TAUBATÉ";1;6;6;2;NA;15;NA;NA;NA;NA;0;2021-05-31
"1157";"DRS I - GRANDE SÃO PAULO";5;40;49;7;4;105;NA;NA;1;NA;1;2021-06-01
"1158";"DRS II - ARAÇATUBA";NA;8;3;NA;NA;11;NA;NA;NA;NA;0;2021-06-01
"1159";"DRS III - ARARAQUARA";2;17;6;NA;1;26;NA;NA;NA;NA;0;2021-06-01
"1160";"DRS IV - BAIXADA SANTISTA";NA;3;2;NA;1;6;NA;NA;NA;NA;0;2021-06-01
"1161";"DRS V - BARRETOS";2;15;11;3;NA;31;NA;NA;NA;NA;0;2021-06-01
"1162";"DRS VI - BAURU";4;25;14;NA;2;45;NA;NA;NA;NA;0;2021-06-01
"1163";"DRS VII - CAMPINAS";7;24;28;2;1;62;NA;NA;1;NA;1;2021-06-01
"1164";"DRS VIII - FRANCA";NA;24;8;NA;NA;32;NA;NA;NA;NA;0;2021-06-01
"1165";"DRS IX - MARÍLIA";9;36;20;1;4;70;NA;NA;NA;NA;0;2021-06-01
"1166";"DRS X - PIRACICABA";8;15;5;NA;3;31;NA;NA;NA;NA;0;2021-06-01
"1167";"DRS XI - PRESIDENTE PRUDENTE";1;12;7;NA;NA;20;NA;NA;NA;NA;0;2021-06-01
"1168";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;0;2021-06-01
"1169";"DRS XIII - RIBEIRÃO PRETO";10;33;5;NA;2;50;NA;NA;NA;NA;0;2021-06-01
"1170";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;4;4;NA;NA;8;NA;NA;NA;NA;0;2021-06-01
"1171";"DRS XV - SÃO JOSÉ DO RIO PRETO";10;66;16;NA;NA;92;NA;NA;NA;NA;0;2021-06-01
"1172";"DRS XVI - SOROCABA";6;26;13;NA;3;48;NA;NA;NA;NA;0;2021-06-01
"1173";"DRS XVII - TAUBATÉ";NA;9;5;NA;NA;14;NA;NA;NA;NA;0;2021-06-01
"1174";"DRS I - GRANDE SÃO PAULO";4;34;41;2;5;86;NA;NA;2;1;3;2021-06-02
"1175";"DRS II - ARAÇATUBA";NA;6;5;NA;NA;11;NA;NA;NA;NA;0;2021-06-02
"1176";"DRS III - ARARAQUARA";2;14;5;NA;1;22;NA;NA;NA;NA;0;2021-06-02
"1177";"DRS IV - BAIXADA SANTISTA";1;1;NA;NA;1;3;NA;NA;NA;NA;0;2021-06-02
"1178";"DRS V - BARRETOS";1;13;13;2;NA;29;NA;NA;NA;NA;0;2021-06-02
"1179";"DRS VI - BAURU";1;21;9;1;1;33;NA;NA;NA;NA;0;2021-06-02
"1180";"DRS VII - CAMPINAS";6;28;31;1;1;67;NA;NA;1;NA;1;2021-06-02
"1181";"DRS VIII - FRANCA";1;21;6;NA;NA;28;NA;NA;NA;NA;0;2021-06-02
"1182";"DRS IX - MARÍLIA";8;44;23;NA;4;79;NA;NA;NA;NA;0;2021-06-02
"1183";"DRS X - PIRACICABA";8;15;7;NA;1;31;NA;NA;NA;NA;0;2021-06-02
"1184";"DRS XI - PRESIDENTE PRUDENTE";2;12;8;NA;NA;22;NA;NA;NA;NA;0;2021-06-02
"1185";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;0;2021-06-02
"1186";"DRS XIII - RIBEIRÃO PRETO";10;24;7;NA;2;43;NA;NA;NA;NA;0;2021-06-02
"1187";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;5;3;NA;NA;9;NA;NA;NA;NA;0;2021-06-02
"1188";"DRS XV - SÃO JOSÉ DO RIO PRETO";13;67;21;2;1;104;NA;NA;NA;NA;0;2021-06-02
"1189";"DRS XVI - SOROCABA";5;42;11;NA;8;66;NA;NA;NA;NA;0;2021-06-02
"1190";"DRS XVII - TAUBATÉ";1;9;7;NA;NA;17;NA;NA;NA;NA;0;2021-06-02
"1191";"DRS I - GRANDE SÃO PAULO";5;33;36;4;3;81;NA;NA;2;2;4;2021-06-03
"1192";"DRS II - ARAÇATUBA";NA;10;4;NA;NA;14;NA;NA;NA;NA;0;2021-06-03
"1193";"DRS III - ARARAQUARA";2;12;3;NA;NA;17;NA;NA;NA;NA;0;2021-06-03
"1194";"DRS IV - BAIXADA SANTISTA";1;NA;2;1;NA;4;NA;NA;NA;NA;0;2021-06-03
"1195";"DRS V - BARRETOS";4;18;14;NA;NA;36;NA;NA;NA;NA;0;2021-06-03
"1196";"DRS VI - BAURU";1;19;10;NA;1;31;NA;NA;NA;NA;0;2021-06-03
"1197";"DRS VII - CAMPINAS";7;29;37;1;1;75;NA;NA;NA;NA;0;2021-06-03
"1198";"DRS VIII - FRANCA";1;20;6;NA;NA;27;NA;NA;NA;NA;0;2021-06-03
"1199";"DRS IX - MARÍLIA";7;47;24;NA;2;80;NA;NA;NA;NA;0;2021-06-03
