"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"593";"DRS XV - SÃO JOSÉ DO RIO PRETO";2;39;26;2;NA;69;NA;NA;NA;NA;NA;2021-04-28
"594";"DRS XVI - SOROCABA";2;9;12;5;NA;28;NA;NA;NA;NA;NA;2021-04-28
"595";"DRS XVII - TAUBATÉ";NA;14;17;5;NA;36;NA;NA;NA;1;1;2021-04-28
"596";"DRS I - GRANDE SÃO PAULO";16;48;12;3;NA;79;NA;NA;NA;NA;NA;2021-04-29
"597";"DRS II - ARAÇATUBA";NA;3;2;1;NA;6;NA;NA;NA;NA;NA;2021-04-29
"598";"DRS III - ARARAQUARA";1;12;9;3;NA;25;NA;NA;NA;NA;NA;2021-04-29
"599";"DRS IV - BAIXADA SANTISTA";NA;2;1;NA;NA;3;NA;NA;NA;NA;NA;2021-04-29
"600";"DRS V - BARRETOS";NA;8;16;3;NA;27;NA;NA;NA;NA;NA;2021-04-29
"601";"DRS VI - BAURU";NA;11;3;2;NA;16;NA;NA;NA;NA;NA;2021-04-29
"602";"DRS VII - CAMPINAS";8;12;6;NA;NA;26;NA;NA;NA;NA;NA;2021-04-29
"603";"DRS VIII - FRANCA";NA;10;8;NA;NA;18;NA;NA;NA;NA;NA;2021-04-29
"604";"DRS IX - MARÍLIA";NA;15;5;NA;NA;20;NA;NA;NA;NA;NA;2021-04-29
"605";"DRS X - PIRACICABA";NA;6;5;2;NA;13;NA;NA;NA;NA;NA;2021-04-29
"606";"DRS XI - PRESIDENTE PRUDENTE";NA;4;3;NA;NA;7;NA;NA;NA;NA;NA;2021-04-29
"607";"DRS XII - REGISTRO";NA;2;1;2;NA;5;NA;NA;NA;NA;NA;2021-04-29
"608";"DRS XIII - RIBEIRÃO PRETO";NA;6;3;2;NA;11;NA;NA;NA;NA;NA;2021-04-29
"609";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;5;1;NA;NA;7;NA;NA;NA;NA;NA;2021-04-29
"610";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;41;23;2;NA;66;NA;NA;NA;NA;NA;2021-04-29
"611";"DRS XVI - SOROCABA";NA;13;11;9;NA;33;NA;NA;NA;NA;NA;2021-04-29
"612";"DRS XVII - TAUBATÉ";NA;23;15;3;2;43;NA;NA;NA;NA;NA;2021-04-29
"613";"DRS I - GRANDE SÃO PAULO";18;46;17;6;4;91;NA;2;NA;NA;2;2021-04-30
"614";"DRS II - ARAÇATUBA";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-04-30
"615";"DRS III - ARARAQUARA";1;5;6;7;1;20;NA;NA;NA;NA;NA;2021-04-30
"616";"DRS IV - BAIXADA SANTISTA";NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;2021-04-30
"617";"DRS V - BARRETOS";NA;10;16;3;NA;29;NA;NA;NA;NA;NA;2021-04-30
"618";"DRS VI - BAURU";NA;5;5;11;NA;21;NA;NA;NA;NA;NA;2021-04-30
"619";"DRS VII - CAMPINAS";6;9;9;2;NA;26;1;NA;NA;NA;1;2021-04-30
"620";"DRS VIII - FRANCA";NA;6;7;1;NA;14;NA;NA;NA;NA;NA;2021-04-30
"621";"DRS IX - MARÍLIA";NA;15;14;NA;NA;29;NA;NA;NA;1;1;2021-04-30
"622";"DRS X - PIRACICABA";NA;11;5;1;NA;17;NA;NA;NA;NA;NA;2021-04-30
